Name,Designation,Department,Email,Profile_URL
Dr. Bakkialakshmi V S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-bakkialakshmi-v-s/
Dr. Balamurugan G,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-g-balamurugan/
Dr. Bhanumathi M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-bhanumathi-m/
Dr. Bhargavi G,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-bhargavi-g/
Dr. Bibin Christopher V,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-v-bibin-christopher/
Dr. Brindha R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-r-brindha/
Dr. Briskilal J,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-briskilal-j/
Dr. Dandumahanti Bhanu Priya,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-dandumahanti-bhanu-priya/
Dr. Deepa R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-deepa-r/
Dr. Deepajothi S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-deepajothi/
Dr. Divya Mohan,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-divya-mohan/
Dr. Eliazer M,Assistant Professor (Senior Grade),,,https://www.srmist.edu.in/faculty/m-eliazer/
Dr. G. Manoj Kumar,Assistant Professor,,,https://www.srmist.edu.in/faculty/guntupalli-manoj-kumar/
Dr. Geetha K,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-k-geetha/
Dr. Geetha R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-r-geetha/
Dr. Girirajan S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-s-girirajan/
Dr. Gokulakrishnan D,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-gokulakrishnan-d/
Dr. Gokulnath C,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-gokulnath-c/
Dr. Hariharan R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-hariharan-r/
Dr. Harriet Linda C,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-harriet-linda-c/
Dr. Hema M,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-m-hema/
Dr. Hemavathi S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-hemavathi-s/
Dr. Ida Seraphim B,Assistant Professor,,,https://www.srmist.edu.in/faculty/b-ida-seraphim/
Dr. Iniyan S,Assistant Professor,,,https://www.srmist.edu.in/faculty/s-iniyan/
Dr. Ishwarya K,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-ishwarya-k/
Dr. Jagadeesan S,Assistant Professor,,,https://www.srmist.edu.in/faculty/s-jagadeesan/
Dr. Jagadeesh M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-jagadeesh-m/
Dr. Janani M,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-janani-m/
